latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.0,77.600006,918.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2026-07-20T00:30,8.0,6.2,210.0,9.2,4.1,40.0

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2026-07-16T00:00,16.8,12.9,16.1,5.3,51.0,248.0
2026-07-16T01:00,16.8,12.5,14.5,4.9,48.0,218.0
2026-07-16T02:00,17.8,12.8,13.6,4.7,45.0,201.0
2026-07-16T03:00,19.4,13.4,13.3,4.8,42.0,194.0
2026-07-16T04:00,21.4,14.1,13.7,5.1,38.0,201.0
2026-07-16T05:00,25.1,15.5,12.8,5.5,40.0,224.0
2026-07-16T06:00,28.2,17.1,12.7,5.9,41.0,281.0
2026-07-16T07:00,34.5,19.0,12.4,6.4,44.0,353.0
2026-07-16T08:00,38.9,20.6,11.4,6.5,49.0,389.0
2026-07-16T09:00,41.6,20.7,9.1,5.8,60.0,351.0
2026-07-16T10:00,44.7,20.8,6.1,4.7,75.0,276.0
2026-07-16T11:00,50.8,21.8,4.0,3.8,86.0,221.0
2026-07-16T12:00,54.8,22.8,3.3,3.3,90.0,207.0
2026-07-16T13:00,54.2,23.0,3.5,2.9,91.0,213.0
2026-07-16T14:00,49.4,22.0,4.3,2.7,90.0,235.0
2026-07-16T15:00,44.0,20.5,5.6,2.5,87.0,279.0
2026-07-16T16:00,39.1,19.0,7.6,2.5,81.0,339.0
2026-07-16T17:00,42.3,20.8,9.4,2.6,81.0,387.0
2026-07-16T18:00,35.7,20.8,14.9,3.8,71.0,420.0
2026-07-16T19:00,32.0,20.8,22.2,5.5,58.0,443.0
2026-07-16T20:00,27.8,18.9,26.6,6.6,48.0,439.0
2026-07-16T21:00,23.9,16.5,25.3,6.7,45.0,392.0
2026-07-16T22:00,21.5,14.8,21.0,6.1,44.0,319.0
2026-07-16T23:00,19.2,13.1,17.0,5.6,44.0,256.0
2026-07-17T00:00,15.6,10.4,14.1,5.1,42.0,215.0
2026-07-17T01:00,13.0,8.5,11.4,4.5,41.0,184.0
2026-07-17T02:00,11.0,7.2,9.4,4.2,39.0,163.0
2026-07-17T03:00,9.5,6.1,8.3,4.3,37.0,145.0
2026-07-17T04:00,8.6,5.5,7.9,4.6,36.0,137.0
2026-07-17T05:00,9.1,5.8,8.7,5.2,34.0,160.0
2026-07-17T06:00,7.9,5.5,9.8,5.1,34.0,251.0
2026-07-17T07:00,8.6,6.1,11.3,4.9,33.0,373.0
2026-07-17T08:00,8.8,6.2,12.5,4.8,33.0,440.0
2026-07-17T09:00,8.7,6.4,13.0,4.8,33.0,396.0
2026-07-17T10:00,8.9,6.3,13.0,4.8,34.0,297.0
2026-07-17T11:00,8.2,6.3,13.0,4.8,35.0,224.0
2026-07-17T12:00,8.1,6.1,12.5,4.7,38.0,201.0
2026-07-17T13:00,7.0,5.4,11.9,4.5,42.0,204.0
2026-07-17T14:00,7.3,6.2,12.3,4.3,44.0,241.0
2026-07-17T15:00,7.6,6.0,14.8,4.1,42.0,344.0
2026-07-17T16:00,9.6,6.8,18.5,3.9,39.0,481.0
2026-07-17T17:00,7.7,5.7,16.2,3.0,47.0,565.0
2026-07-17T18:00,8.9,7.3,19.6,3.7,41.0,546.0
2026-07-17T19:00,10.2,8.5,24.2,4.7,32.0,472.0
2026-07-17T20:00,10.7,8.8,26.8,5.4,26.0,405.0
2026-07-17T21:00,10.5,8.4,25.6,5.4,25.0,366.0
2026-07-17T22:00,10.3,8.1,22.4,5.1,27.0,334.0
2026-07-17T23:00,9.3,7.4,18.9,4.8,29.0,298.0
2026-07-18T00:00,7.7,6.1,15.5,4.4,31.0,251.0
2026-07-18T01:00,6.5,5.1,11.9,4.0,35.0,201.0
2026-07-18T02:00,6.4,4.6,9.0,3.7,37.0,165.0
2026-07-18T03:00,7.8,5.1,7.2,3.5,39.0,148.0
2026-07-18T04:00,8.6,5.5,6.0,3.4,40.0,145.0
2026-07-18T05:00,10.9,6.5,6.2,3.5,40.0,162.0
2026-07-18T06:00,10.9,6.8,7.3,3.6,39.0,219.0
2026-07-18T07:00,12.4,7.8,8.7,3.8,37.0,296.0
2026-07-18T08:00,12.4,8.0,9.1,3.8,39.0,340.0
2026-07-18T09:00,14.1,8.3,7.6,3.5,48.0,316.0
2026-07-18T10:00,15.2,8.2,5.2,3.0,61.0,259.0
2026-07-18T11:00,16.2,8.2,3.5,2.6,70.0,216.0
2026-07-18T12:00,17.9,8.5,2.9,2.3,72.0,200.0
2026-07-18T13:00,20.5,9.0,3.0,2.1,71.0,198.0
2026-07-18T14:00,25.6,10.5,4.5,2.1,67.0,218.0
2026-07-18T15:00,28.5,12.8,8.4,2.5,61.0,276.0
2026-07-18T16:00,24.6,13.9,13.8,3.2,53.0,356.0
2026-07-18T17:00,22.6,13.5,18.7,4.0,47.0,416.0
2026-07-18T18:00,22.6,15.1,23.3,4.6,40.0,441.0
2026-07-18T19:00,23.2,16.2,29.4,5.5,31.0,446.0
2026-07-18T20:00,23.5,15.5,32.7,6.1,25.0,441.0
2026-07-18T21:00,24.7,15.1,30.7,6.1,24.0,428.0
2026-07-18T22:00,20.7,13.6,25.9,5.8,26.0,405.0
2026-07-18T23:00,17.8,12.2,21.3,5.4,28.0,368.0
