latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,918.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (m/s),wind_direction_10m (°)
2026-07-16T00:00,22.4,77,0.00,910.6,100,2.85,270
2026-07-16T01:00,21.7,81,0.00,910.3,98,2.87,263
2026-07-16T02:00,21.2,84,0.00,910.4,91,2.80,259
2026-07-16T03:00,20.5,89,0.00,910.4,78,2.67,257
2026-07-16T04:00,20.0,91,0.00,910.4,93,2.35,246
2026-07-16T05:00,20.1,88,0.00,910.4,59,2.44,247
2026-07-16T06:00,19.9,86,0.00,911.1,5,2.89,247
2026-07-16T07:00,21.1,80,0.00,911.9,6,3.11,251
2026-07-16T08:00,23.0,71,0.00,912.4,43,3.20,250
2026-07-16T09:00,25.3,59,0.00,913.0,97,2.97,253
2026-07-16T10:00,26.9,51,0.00,913.0,84,2.95,255
2026-07-16T11:00,28.5,44,0.00,912.6,92,3.18,277
2026-07-16T12:00,29.8,38,0.00,912.1,99,3.03,278
2026-07-16T13:00,30.8,34,0.00,911.4,100,3.35,267
2026-07-16T14:00,30.8,32,0.00,910.7,100,4.06,266
2026-07-16T15:00,29.5,38,0.00,910.4,100,4.10,271
2026-07-16T16:00,29.4,38,0.00,910.2,100,3.80,271
2026-07-16T17:00,28.8,41,0.00,910.3,97,3.88,258
2026-07-16T18:00,27.4,46,0.00,910.5,98,3.97,253
2026-07-16T19:00,26.2,51,0.00,910.9,98,3.28,249
2026-07-16T20:00,25.5,55,0.00,911.7,99,3.20,241
2026-07-16T21:00,24.9,61,0.00,912.1,98,3.49,251
2026-07-16T22:00,23.8,70,0.00,912.1,98,3.32,263
2026-07-16T23:00,23.4,71,0.00,911.7,95,3.43,254
2026-07-17T00:00,22.6,75,0.00,911.3,97,2.89,252
2026-07-17T01:00,22.1,79,0.00,910.6,98,2.64,255
2026-07-17T02:00,21.9,82,0.00,910.3,100,2.60,254
2026-07-17T03:00,21.9,83,0.00,910.2,100,2.69,252
2026-07-17T04:00,21.7,84,0.10,910.0,100,2.73,244
2026-07-17T05:00,21.6,83,0.20,910.1,100,3.20,245
2026-07-17T06:00,21.5,85,0.00,910.6,76,2.55,247
2026-07-17T07:00,22.1,82,0.20,911.4,99,3.98,258
2026-07-17T08:00,22.3,82,0.30,911.8,73,3.64,252
2026-07-17T09:00,24.0,74,0.10,912.7,90,3.87,246
2026-07-17T10:00,26.1,64,0.00,912.9,100,4.16,254
2026-07-17T11:00,25.7,62,0.00,912.0,99,3.90,261
2026-07-17T12:00,26.1,60,0.40,912.0,99,4.30,250
2026-07-17T13:00,27.5,57,0.00,911.6,97,4.06,260
2026-07-17T14:00,23.2,76,1.00,910.0,98,5.71,267
2026-07-17T15:00,23.7,83,3.20,910.1,86,3.09,293
2026-07-17T16:00,23.5,78,1.00,909.9,100,4.86,261
2026-07-17T17:00,22.0,94,0.40,909.9,98,3.68,228
2026-07-17T18:00,21.5,89,1.70,910.3,96,4.30,293
2026-07-17T19:00,20.9,96,1.10,910.4,95,2.45,272
2026-07-17T20:00,21.3,95,0.10,911.2,97,2.92,276
2026-07-17T21:00,21.5,95,0.00,911.7,95,3.26,266
2026-07-17T22:00,21.4,93,0.00,911.7,99,3.68,262
2026-07-17T23:00,21.2,89,0.00,911.3,100,3.72,250
2026-07-18T00:00,21.1,87,0.00,910.8,100,3.78,255
2026-07-18T01:00,21.0,87,0.00,910.3,100,3.82,256
2026-07-18T02:00,20.7,88,0.00,910.0,98,3.77,255
2026-07-18T03:00,20.4,89,0.00,909.4,99,3.81,259
2026-07-18T04:00,20.3,90,0.00,909.8,100,3.86,260
2026-07-18T05:00,20.8,90,0.00,909.7,100,4.14,258
2026-07-18T06:00,20.9,89,0.00,910.1,95,4.04,262
2026-07-18T07:00,21.5,86,0.00,911.0,94,4.23,263
2026-07-18T08:00,23.0,77,0.00,911.8,99,4.41,267
2026-07-18T09:00,23.4,72,0.00,911.8,100,4.50,269
2026-07-18T10:00,24.9,65,0.10,912.0,100,4.81,274
2026-07-18T11:00,26.4,59,0.10,911.8,100,4.86,279
2026-07-18T12:00,26.6,58,0.30,911.2,100,4.60,284
2026-07-18T13:00,26.2,60,0.10,910.4,100,4.56,283
2026-07-18T14:00,26.2,62,0.20,910.0,100,4.20,273
2026-07-18T15:00,23.9,77,1.20,909.4,92,3.01,266
2026-07-18T16:00,24.9,72,0.30,909.3,98,2.35,269
2026-07-18T17:00,24.3,79,0.10,909.6,95,3.21,239
2026-07-18T18:00,23.9,80,0.10,910.0,98,2.76,266
2026-07-18T19:00,23.4,81,0.00,910.3,94,2.84,261
2026-07-18T20:00,21.0,92,1.50,911.2,99,3.55,269
2026-07-18T21:00,20.6,98,2.00,911.1,93,2.64,241
2026-07-18T22:00,21.0,95,0.00,911.4,98,3.32,254
2026-07-18T23:00,21.5,89,0.00,911.1,100,3.02,254
