latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.700005,77.20001,231.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2026-07-19T18:30,661.2,137.4,293.0,29.2,17.1,80.0

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2026-07-16T00:00,284.1,116.4,64.9,30.8,16.0,960.0
2026-07-16T01:00,244.0,106.9,60.5,27.9,16.0,622.0
2026-07-16T02:00,210.9,98.5,56.3,25.1,16.0,367.0
2026-07-16T03:00,182.1,90.1,52.7,22.5,13.0,280.0
2026-07-16T04:00,172.3,84.8,49.2,19.9,9.0,275.0
2026-07-16T05:00,379.0,115.9,30.1,13.5,30.0,293.0
2026-07-16T06:00,371.6,118.5,29.1,14.8,43.0,332.0
2026-07-16T07:00,345.5,121.1,27.4,16.5,62.0,392.0
2026-07-16T08:00,383.7,116.9,24.3,17.5,82.0,418.0
2026-07-16T09:00,372.5,102.9,18.4,17.0,106.0,372.0
2026-07-16T10:00,451.7,105.7,11.1,15.6,132.0,292.0
2026-07-16T11:00,573.7,116.9,5.7,14.4,149.0,230.0
2026-07-16T12:00,685.5,127.6,3.7,13.6,153.0,208.0
2026-07-16T13:00,692.9,127.6,3.5,12.8,149.0,205.0
2026-07-16T14:00,666.8,124.3,4.5,12.2,142.0,210.0
2026-07-16T15:00,614.7,117.6,5.3,11.4,136.0,201.0
2026-07-16T16:00,573.7,115.9,7.1,10.8,127.0,199.0
2026-07-16T17:00,782.3,145.3,13.1,11.6,113.0,259.0
2026-07-16T18:00,765.5,158.3,29.7,15.4,89.0,440.0
2026-07-16T19:00,819.6,178.8,52.7,20.8,56.0,682.0
2026-07-16T20:00,907.1,200.7,71.3,26.4,29.0,860.0
2026-07-16T21:00,979.8,221.7,81.0,32.4,15.0,930.0
2026-07-16T22:00,1009.6,237.5,86.3,38.5,7.0,935.0
2026-07-16T23:00,1024.5,247.7,89.7,43.2,2.0,881.0
2026-07-17T00:00,1054.3,255.2,91.7,45.3,0.0,734.0
2026-07-17T01:00,1087.8,261.7,91.8,45.9,0.0,527.0
2026-07-17T02:00,1113.9,267.3,90.9,46.5,0.0,368.0
2026-07-17T03:00,1113.9,271.0,90.0,48.4,0.0,296.0
2026-07-17T04:00,1039.4,267.3,88.0,50.3,0.0,271.0
2026-07-17T05:00,489.9,162.1,69.6,32.9,1.0,279.0
2026-07-17T06:00,407.0,145.3,58.9,29.8,20.0,345.0
2026-07-17T07:00,358.6,126.2,44.0,25.5,48.0,444.0
2026-07-17T08:00,367.9,110.4,30.5,21.5,76.0,491.0
2026-07-17T09:00,436.8,110.6,20.2,18.3,104.0,430.0
2026-07-17T10:00,534.6,119.7,11.4,15.5,133.0,316.0
2026-07-17T11:00,553.2,118.5,5.3,13.3,152.0,229.0
