latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.646748,77.2748,231.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (m/s),wind_direction_10m (°)
2026-07-16T00:00,32.6,58,0.00,976.4,48,1.98,260
2026-07-16T01:00,31.9,60,0.00,976.1,24,2.02,250
2026-07-16T02:00,31.5,61,0.00,975.9,6,2.17,247
2026-07-16T03:00,31.2,61,0.00,975.7,1,2.27,256
2026-07-16T04:00,30.9,60,0.00,975.8,34,2.61,266
2026-07-16T05:00,30.8,62,0.00,976.0,66,2.47,263
2026-07-16T06:00,31.0,61,0.00,976.2,45,2.55,273
2026-07-16T07:00,32.0,57,0.00,976.6,38,2.16,275
2026-07-16T08:00,33.3,54,0.00,976.8,30,2.41,283
2026-07-16T09:00,35.0,51,0.00,977.0,37,2.49,285
2026-07-16T10:00,36.5,43,0.00,977.1,44,3.07,294
2026-07-16T11:00,37.6,39,0.00,977.1,38,3.47,306
2026-07-16T12:00,37.3,40,0.00,976.8,66,3.16,305
2026-07-16T13:00,37.9,38,0.00,976.1,36,3.44,303
2026-07-16T14:00,38.1,37,0.00,975.5,16,3.52,302
2026-07-16T15:00,38.0,37,0.00,974.6,13,3.45,300
2026-07-16T16:00,37.8,36,0.00,974.2,22,3.38,299
2026-07-16T17:00,38.2,35,0.00,973.6,93,3.61,314
2026-07-16T18:00,37.5,36,0.00,974.0,48,2.69,325
2026-07-16T19:00,36.6,39,0.00,974.5,32,1.95,337
2026-07-16T20:00,36.2,40,0.00,975.1,74,0.87,336
2026-07-16T21:00,35.8,44,0.00,975.7,98,0.25,281
2026-07-16T22:00,35.4,49,0.00,975.9,89,0.00,270
2026-07-16T23:00,36.0,41,0.00,975.1,100,0.60,90
2026-07-17T00:00,35.1,48,0.00,975.0,95,0.50,84
2026-07-17T01:00,34.5,50,0.00,974.8,100,0.47,72
2026-07-17T02:00,34.0,52,0.00,974.6,98,0.40,173
2026-07-17T03:00,33.4,54,0.00,974.5,99,0.86,234
2026-07-17T04:00,32.9,58,0.00,974.7,95,0.56,243
2026-07-17T05:00,32.3,65,0.00,974.7,47,1.39,308
2026-07-17T06:00,31.9,67,0.00,975.4,25,1.15,272
2026-07-17T07:00,32.4,66,0.00,975.8,41,1.52,261
2026-07-17T08:00,33.4,60,0.00,976.0,63,2.21,265
2026-07-17T09:00,34.8,52,0.00,976.2,53,2.45,274
2026-07-17T10:00,36.0,46,0.00,976.5,73,2.54,280
2026-07-17T11:00,36.2,43,0.00,976.7,79,2.91,311
2026-07-17T12:00,36.6,42,0.10,976.3,82,3.05,311
2026-07-17T13:00,37.0,41,0.10,975.6,72,3.19,305
2026-07-17T14:00,37.4,39,0.00,974.8,84,3.00,303
2026-07-17T15:00,37.6,38,0.00,973.9,99,3.19,305
2026-07-17T16:00,37.4,38,0.00,973.5,100,3.15,306
2026-07-17T17:00,36.8,40,0.00,973.6,93,2.82,323
2026-07-17T18:00,35.9,45,0.00,974.0,97,1.92,345
2026-07-17T19:00,34.6,56,0.00,974.3,95,0.76,11
2026-07-17T20:00,34.6,57,0.00,974.8,86,0.29,59
2026-07-17T21:00,34.2,59,0.00,975.7,87,0.21,135
2026-07-17T22:00,33.4,64,0.00,975.8,78,0.84,163
2026-07-17T23:00,33.8,59,0.00,975.3,58,0.60,185
2026-07-18T00:00,32.6,66,0.00,975.1,82,1.26,187
2026-07-18T01:00,32.0,68,0.00,974.9,70,1.35,219
2026-07-18T02:00,31.6,65,0.00,974.7,92,1.36,242
2026-07-18T03:00,31.3,63,0.00,974.5,81,1.20,253
2026-07-18T04:00,31.4,60,0.00,974.5,95,1.81,246
2026-07-18T05:00,32.0,64,0.00,974.1,88,3.05,268
2026-07-18T06:00,31.9,57,0.00,974.7,52,3.14,279
2026-07-18T07:00,32.4,54,0.00,975.1,100,3.08,278
2026-07-18T08:00,32.6,55,0.00,975.4,99,2.57,277
2026-07-18T09:00,33.5,53,0.00,975.6,82,2.80,280
2026-07-18T10:00,35.4,48,0.00,975.7,100,3.75,286
2026-07-18T11:00,35.8,47,0.00,975.7,100,3.94,288
2026-07-18T12:00,35.9,46,0.00,975.2,100,3.60,295
2026-07-18T13:00,36.6,44,0.00,974.6,100,3.16,301
2026-07-18T14:00,36.8,42,0.00,974.0,99,2.66,298
2026-07-18T15:00,37.1,40,0.00,973.7,100,2.53,297
2026-07-18T16:00,36.5,41,0.00,973.2,100,2.27,292
2026-07-18T17:00,37.0,38,0.00,973.3,95,1.36,298
2026-07-18T18:00,36.9,38,0.00,973.8,99,1.31,227
2026-07-18T19:00,35.6,44,0.00,974.2,97,2.17,206
2026-07-18T20:00,35.2,44,0.00,974.6,100,2.21,232
2026-07-18T21:00,34.7,52,0.00,975.0,100,0.59,290
2026-07-18T22:00,33.6,53,0.00,975.6,98,1.10,93
2026-07-18T23:00,34.0,56,0.00,975.4,80,0.66,171
