latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.800003,80.899994,127.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2026-07-19T23:30,69.8,46.8,379.0,22.7,8.5,50.0

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2026-07-16T00:00,140.2,76.1,23.7,10.3,56.0,412.0
2026-07-16T01:00,136.9,74.5,21.1,9.2,59.0,381.0
2026-07-16T02:00,137.4,73.6,19.2,8.3,60.0,356.0
2026-07-16T03:00,139.2,73.1,18.3,7.7,59.0,343.0
2026-07-16T04:00,143.4,73.1,18.1,7.3,57.0,337.0
2026-07-16T05:00,136.9,65.2,15.4,7.4,68.0,339.0
2026-07-16T06:00,136.0,65.7,14.3,7.9,72.0,357.0
2026-07-16T07:00,154.1,67.3,12.6,8.5,79.0,383.0
2026-07-16T08:00,174.2,69.8,10.7,9.6,92.0,395.0
2026-07-16T09:00,183.0,72.2,8.4,11.4,116.0,379.0
2026-07-16T10:00,189.1,75.4,5.8,13.6,146.0,350.0
2026-07-16T11:00,186.3,75.7,3.9,15.0,169.0,323.0
2026-07-16T12:00,170.4,71.2,2.9,15.2,181.0,304.0
2026-07-16T13:00,166.7,71.2,2.5,14.6,185.0,287.0
2026-07-16T14:00,169.0,71.9,2.9,13.8,183.0,279.0
2026-07-16T15:00,170.9,71.7,4.5,12.6,170.0,276.0
2026-07-16T16:00,162.5,68.7,7.0,11.0,150.0,282.0
2026-07-16T17:00,161.1,73.3,6.2,11.9,157.0,307.0
2026-07-16T18:00,150.4,80.6,15.3,13.6,131.0,372.0
2026-07-16T19:00,149.5,88.2,27.5,15.9,94.0,456.0
2026-07-16T20:00,136.0,88.7,35.0,17.2,69.0,515.0
2026-07-16T21:00,117.3,82.9,33.1,16.8,65.0,524.0
2026-07-16T22:00,100.6,76.1,26.4,15.5,71.0,507.0
2026-07-16T23:00,89.2,71.0,20.5,14.0,77.0,493.0
2026-07-17T00:00,79.9,65.2,17.4,12.5,77.0,493.0
2026-07-17T01:00,70.1,58.7,15.3,10.9,77.0,496.0
2026-07-17T02:00,65.4,55.1,13.8,9.7,76.0,494.0
2026-07-17T03:00,61.5,50.9,13.4,9.2,74.0,485.0
2026-07-17T04:00,60.1,49.2,13.7,9.0,71.0,470.0
2026-07-17T05:00,71.2,48.8,13.4,8.8,73.0,449.0
2026-07-17T06:00,71.0,47.6,12.9,9.6,80.0,416.0
2026-07-17T07:00,82.9,48.9,12.1,10.7,91.0,377.0
2026-07-17T08:00,103.6,53.1,10.8,11.7,105.0,341.0
2026-07-17T09:00,129.9,61.0,8.6,12.3,124.0,312.0
2026-07-17T10:00,159.3,69.8,5.9,12.8,145.0,287.0
2026-07-17T11:00,192.8,77.8,3.8,13.0,162.0,265.0
2026-07-17T12:00,221.2,83.1,2.7,12.9,172.0,243.0
2026-07-17T13:00,246.8,86.8,2.2,12.6,176.0,225.0
2026-07-17T14:00,269.2,89.6,2.6,12.2,176.0,221.0
2026-07-17T15:00,272.9,89.6,3.7,11.6,169.0,229.0
2026-07-17T16:00,272.9,90.1,5.6,10.9,157.0,252.0
2026-07-17T17:00,234.2,83.4,6.1,11.3,159.0,309.0
2026-07-17T18:00,184.4,84.3,17.5,14.1,131.0,437.0
2026-07-17T19:00,205.8,95.5,32.9,18.0,93.0,598.0
2026-07-17T20:00,211.4,106.6,42.8,20.5,66.0,700.0
2026-07-17T21:00,204.0,111.1,42.1,20.6,59.0,692.0
2026-07-17T22:00,187.2,107.3,36.0,19.3,63.0,624.0
2026-07-17T23:00,154.1,89.9,29.9,17.6,67.0,555.0
2026-07-18T00:00,127.1,76.6,25.4,15.6,68.0,499.0
2026-07-18T01:00,107.1,68.5,21.1,13.1,69.0,442.0
2026-07-18T02:00,93.6,64.7,17.9,11.2,70.0,403.0
2026-07-18T03:00,83.4,62.4,16.8,10.2,68.0,396.0
2026-07-18T04:00,75.0,58.0,16.9,9.7,64.0,407.0
2026-07-18T05:00,133.2,74.3,25.9,11.7,46.0,418.0
2026-07-18T06:00,140.2,72.2,22.5,12.1,61.0,424.0
2026-07-18T07:00,157.4,74.5,17.7,12.5,82.0,430.0
2026-07-18T08:00,204.9,81.5,13.3,12.7,105.0,427.0
2026-07-18T09:00,240.3,87.3,9.7,12.4,130.0,409.0
2026-07-18T10:00,255.2,89.6,6.6,11.8,155.0,383.0
2026-07-18T11:00,262.6,91.0,4.4,11.1,173.0,363.0
2026-07-18T12:00,279.4,94.1,3.3,10.4,178.0,350.0
2026-07-18T13:00,302.7,97.3,3.1,9.7,174.0,343.0
2026-07-18T14:00,273.8,89.6,3.9,9.0,167.0,348.0
2026-07-18T15:00,224.0,79.6,5.9,8.2,156.0,359.0
2026-07-18T16:00,185.8,74.5,8.8,7.4,141.0,382.0
2026-07-18T17:00,321.3,101.0,6.2,11.4,160.0,440.0
2026-07-18T18:00,243.1,99.2,10.0,12.1,142.0,574.0
2026-07-18T19:00,206.3,93.6,15.2,13.0,118.0,742.0
2026-07-18T20:00,161.1,80.8,18.8,13.4,98.0,844.0
2026-07-18T21:00,122.9,68.9,19.4,12.9,88.0,830.0
2026-07-18T22:00,95.0,59.8,18.4,11.8,82.0,750.0
2026-07-18T23:00,71.0,50.1,17.4,10.8,77.0,655.0
