latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.099998,72.90001,8.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2026-07-19T23:30,20.3,9.3,178.0,6.9,5.6,45.0

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2026-07-16T00:00,37.6,17.3,9.4,7.7,40.0,195.0
2026-07-16T01:00,38.4,17.7,8.3,7.0,41.0,161.0
2026-07-16T02:00,39.1,17.2,7.6,6.6,41.0,136.0
2026-07-16T03:00,37.4,16.9,7.3,6.7,41.0,124.0
2026-07-16T04:00,36.9,16.5,7.4,7.0,41.0,121.0
2026-07-16T05:00,38.6,16.2,6.9,6.5,42.0,133.0
2026-07-16T06:00,35.7,16.0,7.6,7.5,41.0,172.0
2026-07-16T07:00,36.0,16.9,8.5,8.8,40.0,225.0
2026-07-16T08:00,38.6,17.9,9.0,10.0,43.0,256.0
2026-07-16T09:00,38.9,18.8,8.4,10.9,54.0,245.0
2026-07-16T10:00,42.0,21.0,7.4,11.6,69.0,213.0
2026-07-16T11:00,44.1,22.4,6.8,12.0,81.0,187.0
2026-07-16T12:00,43.8,23.4,7.1,12.1,89.0,176.0
2026-07-16T13:00,44.5,24.8,7.9,12.0,95.0,172.0
2026-07-16T14:00,47.3,26.1,8.8,11.7,95.0,175.0
2026-07-16T15:00,45.3,25.2,9.9,11.3,85.0,188.0
2026-07-16T16:00,42.1,23.3,11.1,10.8,70.0,208.0
2026-07-16T17:00,48.4,24.2,7.1,6.3,59.0,228.0
2026-07-16T18:00,42.6,21.4,7.7,6.1,53.0,249.0
2026-07-16T19:00,42.5,20.5,8.6,5.9,46.0,270.0
2026-07-16T20:00,43.1,19.9,9.3,5.8,40.0,280.0
2026-07-16T21:00,42.7,19.7,9.7,6.0,38.0,273.0
2026-07-16T22:00,42.4,20.1,9.9,6.4,37.0,256.0
2026-07-16T23:00,40.5,19.8,9.8,6.6,37.0,235.0
2026-07-17T00:00,37.6,18.7,9.3,6.5,37.0,208.0
2026-07-17T01:00,36.0,17.5,8.5,6.3,38.0,178.0
2026-07-17T02:00,32.6,15.9,7.8,6.2,39.0,157.0
2026-07-17T03:00,33.2,15.3,7.2,6.2,40.0,146.0
2026-07-17T04:00,30.7,14.1,6.7,6.2,40.0,143.0
2026-07-17T05:00,29.3,13.4,6.0,5.4,42.0,160.0
2026-07-17T06:00,31.3,14.0,6.9,5.9,42.0,217.0
2026-07-17T07:00,31.3,15.0,8.2,6.5,42.0,293.0
2026-07-17T08:00,31.0,15.9,8.9,7.1,45.0,335.0
2026-07-17T09:00,32.8,16.6,8.4,7.5,54.0,309.0
2026-07-17T10:00,34.6,18.0,7.3,7.7,67.0,249.0
2026-07-17T11:00,37.7,20.3,6.7,8.1,76.0,205.0
2026-07-17T12:00,39.1,21.0,7.0,8.5,80.0,195.0
2026-07-17T13:00,45.8,22.3,7.7,9.0,80.0,201.0
2026-07-17T14:00,45.3,22.9,9.0,9.8,78.0,217.0
2026-07-17T15:00,45.4,23.9,11.3,11.4,73.0,246.0
2026-07-17T16:00,45.1,24.6,14.2,13.4,64.0,285.0
2026-07-17T17:00,44.2,21.0,7.8,4.4,51.0,315.0
2026-07-17T18:00,41.8,19.9,8.1,4.6,48.0,330.0
2026-07-17T19:00,43.2,20.7,8.5,4.9,45.0,337.0
2026-07-17T20:00,42.5,20.5,8.8,5.2,42.0,335.0
2026-07-17T21:00,43.0,21.0,8.8,5.4,41.0,324.0
2026-07-17T22:00,44.7,20.8,8.6,5.5,41.0,305.0
2026-07-17T23:00,41.2,19.8,8.2,5.4,41.0,276.0
2026-07-18T00:00,39.2,18.5,7.5,5.1,42.0,227.0
2026-07-18T01:00,36.4,16.9,6.6,4.6,42.0,169.0
2026-07-18T02:00,30.5,14.8,5.9,4.3,43.0,130.0
2026-07-18T03:00,27.5,13.3,5.5,4.2,43.0,123.0
2026-07-18T04:00,27.2,13.5,5.4,4.3,43.0,136.0
2026-07-18T05:00,24.9,11.7,4.3,3.6,44.0,161.0
2026-07-18T06:00,25.0,12.2,5.7,4.3,43.0,211.0
2026-07-18T07:00,24.6,12.6,7.7,5.2,42.0,273.0
2026-07-18T08:00,24.7,13.4,8.6,5.9,44.0,307.0
2026-07-18T09:00,27.9,15.5,7.4,5.9,54.0,286.0
2026-07-18T10:00,30.0,16.4,5.3,5.7,67.0,236.0
2026-07-18T11:00,30.6,16.8,3.9,5.6,76.0,195.0
2026-07-18T12:00,31.5,17.4,4.1,5.8,79.0,174.0
2026-07-18T13:00,29.6,16.6,5.0,6.2,77.0,162.0
2026-07-18T14:00,28.6,16.9,6.4,6.5,73.0,169.0
2026-07-18T15:00,28.6,16.5,8.3,6.4,65.0,205.0
2026-07-18T16:00,29.3,16.2,10.5,6.2,53.0,260.0
2026-07-18T17:00,24.0,11.9,8.7,3.9,44.0,313.0
2026-07-18T18:00,27.5,13.4,9.2,4.4,43.0,365.0
2026-07-18T19:00,31.2,15.3,9.9,5.1,43.0,414.0
2026-07-18T20:00,32.4,16.4,10.4,5.7,42.0,436.0
2026-07-18T21:00,33.9,17.0,10.4,6.1,42.0,415.0
2026-07-18T22:00,32.2,16.5,10.2,6.4,42.0,366.0
2026-07-18T23:00,31.1,15.7,9.7,6.5,42.0,314.0
