latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,72.85291,8.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (m/s),wind_direction_10m (°)
2026-07-16T00:00,27.6,78,0.40,1007.3,33,2.63,219
2026-07-16T01:00,27.1,80,0.40,1007.1,51,3.47,207
2026-07-16T02:00,26.5,84,0.60,1006.7,25,3.42,195
2026-07-16T03:00,26.2,86,0.40,1006.4,50,2.72,212
2026-07-16T04:00,26.0,88,0.50,1006.5,41,2.78,172
2026-07-16T05:00,26.2,90,0.20,1006.5,100,1.82,188
2026-07-16T06:00,25.9,93,0.90,1006.9,94,2.88,188
2026-07-16T07:00,26.3,92,0.40,1007.3,73,2.97,174
2026-07-16T08:00,26.4,85,0.60,1007.7,69,2.95,180
2026-07-16T09:00,27.3,84,0.50,1008.2,79,1.53,169
2026-07-16T10:00,27.4,81,0.70,1008.4,98,3.11,228
2026-07-16T11:00,29.4,77,0.30,1007.7,82,2.50,217
2026-07-16T12:00,29.0,75,0.20,1007.5,100,3.37,252
2026-07-16T13:00,28.7,77,0.40,1007.1,70,2.41,264
2026-07-16T14:00,29.4,76,0.20,1006.5,97,1.87,261
2026-07-16T15:00,29.6,72,0.10,1006.2,99,3.42,252
2026-07-16T16:00,29.0,74,0.10,1005.9,89,3.24,253
2026-07-16T17:00,28.5,79,0.30,1005.9,100,1.86,239
2026-07-16T18:00,27.7,86,0.30,1006.1,100,1.66,249
2026-07-16T19:00,27.6,86,0.40,1006.6,100,1.66,241
2026-07-16T20:00,27.8,83,0.20,1007.0,100,2.40,247
2026-07-16T21:00,27.9,79,0.10,1007.2,100,2.55,242
2026-07-16T22:00,27.4,82,0.20,1007.4,99,2.01,243
2026-07-16T23:00,27.7,81,0.30,1007.0,88,2.93,243
2026-07-17T00:00,26.6,87,0.70,1006.6,87,2.43,233
2026-07-17T01:00,26.6,89,0.40,1006.3,77,2.16,236
2026-07-17T02:00,27.0,86,0.20,1006.0,80,2.56,239
2026-07-17T03:00,26.7,85,0.30,1005.9,89,2.41,227
2026-07-17T04:00,25.9,90,0.50,1005.7,99,2.02,213
2026-07-17T05:00,24.8,95,1.40,1005.8,99,2.32,284
2026-07-17T06:00,25.8,89,2.90,1006.3,100,0.50,6
2026-07-17T07:00,27.1,91,0.60,1006.8,99,1.52,247
2026-07-17T08:00,28.3,81,0.10,1007.1,88,2.61,258
2026-07-17T09:00,29.0,75,0.30,1007.6,89,3.05,260
2026-07-17T10:00,27.6,80,0.80,1008.0,99,2.15,245
2026-07-17T11:00,29.3,76,1.90,1007.4,96,3.65,268
2026-07-17T12:00,30.3,71,0.10,1007.1,98,4.69,263
2026-07-17T13:00,27.7,82,1.70,1006.7,99,3.47,263
2026-07-17T14:00,29.4,72,0.90,1006.3,100,3.60,256
2026-07-17T15:00,28.4,77,0.50,1005.9,95,3.52,277
2026-07-17T16:00,28.5,72,0.30,1005.9,98,4.17,264
2026-07-17T17:00,29.0,74,0.80,1005.6,98,4.00,271
2026-07-17T18:00,28.7,77,0.60,1005.8,97,3.72,265
2026-07-17T19:00,28.5,77,0.10,1006.2,95,3.70,254
2026-07-17T20:00,28.4,77,0.10,1006.8,92,3.57,252
2026-07-17T21:00,27.9,80,0.20,1007.4,98,3.36,255
2026-07-17T22:00,27.3,84,0.30,1007.8,99,2.55,269
2026-07-17T23:00,27.3,81,0.70,1007.3,100,2.50,282
2026-07-18T00:00,26.6,87,0.50,1006.8,100,1.44,194
2026-07-18T01:00,26.0,92,0.50,1006.8,100,1.71,277
2026-07-18T02:00,25.9,94,1.30,1006.3,100,0.89,218
2026-07-18T03:00,26.4,91,0.50,1005.8,100,1.16,245
2026-07-18T04:00,26.1,96,0.10,1005.7,100,0.38,293
2026-07-18T05:00,26.8,90,0.80,1005.5,71,2.78,252
2026-07-18T06:00,26.5,88,0.80,1006.2,91,3.13,262
2026-07-18T07:00,27.1,87,0.00,1006.6,91,2.80,267
2026-07-18T08:00,27.7,82,0.40,1006.9,98,3.22,263
2026-07-18T09:00,28.8,74,0.50,1007.2,95,3.02,277
2026-07-18T10:00,28.9,76,0.30,1007.3,98,3.70,268
2026-07-18T11:00,30.3,69,0.10,1006.9,95,5.04,263
2026-07-18T12:00,30.6,70,0.00,1006.3,95,4.86,261
2026-07-18T13:00,29.7,70,0.50,1006.0,99,4.95,270
2026-07-18T14:00,28.7,75,0.20,1005.6,95,6.06,262
2026-07-18T15:00,28.8,78,1.30,1005.1,100,4.90,271
2026-07-18T16:00,28.2,78,0.50,1004.9,100,5.06,261
2026-07-18T17:00,26.8,86,0.20,1005.0,99,3.21,259
2026-07-18T18:00,26.5,90,1.40,1005.6,100,3.81,256
2026-07-18T19:00,26.2,93,2.70,1006.4,100,1.74,221
2026-07-18T20:00,26.0,93,2.30,1006.9,100,2.79,216
2026-07-18T21:00,26.6,93,0.70,1007.4,100,2.54,238
2026-07-18T22:00,26.5,93,0.10,1007.7,100,2.80,241
2026-07-18T23:00,26.5,88,0.50,1006.9,100,3.32,225
