latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.0,77.600006,918.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2026-07-20T00:30,8.0,6.2,210.0,9.2,4.1,40.0

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2026-04-15T00:00,19.5,17.0,19.4,10.0,89.0,394.0
2026-04-15T01:00,20.1,17.3,18.2,10.5,89.0,347.0
2026-04-15T02:00,21.2,18.0,18.1,11.1,86.0,322.0
2026-04-15T03:00,22.6,19.2,20.8,11.9,77.0,332.0
2026-04-15T04:00,24.3,20.6,24.8,12.8,65.0,365.0
2026-04-15T05:00,27.3,23.3,30.4,13.3,56.0,419.0
2026-04-15T06:00,29.5,25.6,26.7,13.3,65.0,524.0
2026-04-15T07:00,28.6,25.1,21.5,13.2,80.0,650.0
2026-04-15T08:00,27.4,23.7,16.5,12.7,98.0,709.0
2026-04-15T09:00,24.2,20.1,11.8,11.4,125.0,640.0
2026-04-15T10:00,23.7,19.1,7.3,9.7,156.0,505.0
2026-04-15T11:00,25.3,19.6,4.1,8.3,179.0,396.0
2026-04-15T12:00,29.7,22.3,2.8,7.4,187.0,348.0
2026-04-15T13:00,32.8,24.6,2.7,6.9,187.0,328.0
2026-04-15T14:00,33.8,25.6,3.4,6.4,184.0,324.0
2026-04-15T15:00,33.4,25.7,4.3,5.9,180.0,335.0
2026-04-15T16:00,32.7,25.4,5.9,5.5,174.0,364.0
2026-04-15T17:00,20.3,16.4,9.1,6.1,157.0,405.0
2026-04-15T18:00,24.2,20.8,14.6,7.0,138.0,476.0
2026-04-15T19:00,28.4,25.3,22.2,8.2,112.0,560.0
2026-04-15T20:00,27.3,24.3,26.8,9.0,93.0,603.0
2026-04-15T21:00,25.3,22.4,25.6,9.0,88.0,571.0
2026-04-15T22:00,24.3,21.4,21.6,8.6,89.0,499.0
2026-04-15T23:00,24.3,21.2,18.7,8.6,89.0,437.0
2026-04-16T00:00,24.3,20.9,18.3,9.4,86.0,400.0
2026-04-16T01:00,25.0,21.2,19.1,10.6,83.0,372.0
2026-04-16T02:00,26.7,22.5,21.1,11.7,77.0,360.0
2026-04-16T03:00,28.8,24.4,26.0,12.8,65.0,358.0
2026-04-16T04:00,31.7,27.2,32.2,13.8,51.0,372.0
2026-04-16T05:00,37.3,32.0,36.9,14.4,44.0,418.0
2026-04-16T06:00,43.5,38.3,32.1,14.4,58.0,540.0
2026-04-16T07:00,41.9,38.0,25.3,14.4,78.0,696.0
2026-04-16T08:00,38.6,33.5,18.9,13.9,101.0,773.0
2026-04-16T09:00,34.1,28.9,13.3,12.4,132.0,701.0
2026-04-16T10:00,32.0,26.5,8.2,10.4,166.0,551.0
2026-04-16T11:00,31.9,25.9,4.5,8.7,190.0,428.0
2026-04-16T12:00,31.0,25.0,3.0,7.6,196.0,370.0
2026-04-16T13:00,28.8,23.4,3.0,6.9,191.0,339.0
2026-04-16T14:00,26.8,22.1,3.6,6.3,183.0,326.0
2026-04-16T15:00,25.6,21.2,4.4,5.7,175.0,336.0
2026-04-16T16:00,25.4,21.2,5.8,5.3,165.0,364.0
2026-04-16T17:00,29.6,25.1,8.1,5.3,144.0,391.0
2026-04-16T18:00,31.2,27.7,11.9,6.1,130.0,409.0
2026-04-16T19:00,32.7,29.7,17.1,7.2,110.0,425.0
2026-04-16T20:00,32.6,29.7,20.4,8.6,97.0,438.0
2026-04-16T21:00,32.5,29.7,20.0,10.4,97.0,450.0
2026-04-16T22:00,32.7,30.2,17.8,12.5,104.0,458.0
2026-04-16T23:00,32.8,30.3,16.1,14.3,108.0,455.0
2026-04-17T00:00,32.6,29.9,15.3,15.5,107.0,430.0
2026-04-17T01:00,32.7,29.7,15.0,16.4,103.0,394.0
2026-04-17T02:00,34.0,30.3,16.3,17.6,99.0,370.0
2026-04-17T03:00,36.6,32.5,21.0,19.7,92.0,352.0
2026-04-17T04:00,41.4,37.1,27.2,22.1,83.0,345.0
2026-04-17T05:00,43.9,39.5,33.9,18.7,55.0,389.0
2026-04-17T06:00,51.7,46.9,30.8,18.6,68.0,550.0
2026-04-17T07:00,51.3,47.0,26.3,18.4,86.0,762.0
2026-04-17T08:00,46.9,40.3,21.3,17.4,108.0,865.0
2026-04-17T09:00,41.0,34.1,15.4,15.0,137.0,753.0
2026-04-17T10:00,38.2,31.0,9.0,11.8,170.0,532.0
2026-04-17T11:00,36.6,29.2,4.4,9.1,192.0,363.0
2026-04-17T12:00,32.0,26.1,2.6,7.4,194.0,310.0
2026-04-17T13:00,28.2,23.3,2.5,6.3,185.0,308.0
2026-04-17T14:00,24.9,20.5,3.1,5.4,175.0,321.0
2026-04-17T15:00,22.2,18.4,3.8,4.7,167.0,342.0
2026-04-17T16:00,20.8,17.2,5.1,4.3,158.0,377.0
2026-04-17T17:00,30.9,25.2,7.8,4.5,145.0,408.0
2026-04-17T18:00,31.4,27.4,11.8,5.4,132.0,427.0
2026-04-17T19:00,32.5,28.9,17.3,6.6,114.0,442.0
2026-04-17T20:00,33.5,29.9,21.2,7.8,101.0,453.0
2026-04-17T21:00,36.3,32.4,22.1,8.8,97.0,467.0
2026-04-17T22:00,39.8,35.4,21.5,9.7,97.0,478.0
2026-04-17T23:00,42.4,37.8,20.5,10.7,97.0,470.0
2026-04-18T00:00,44.0,39.2,19.2,11.9,97.0,423.0
2026-04-18T01:00,45.4,40.4,17.5,13.3,97.0,358.0
2026-04-18T02:00,47.3,41.7,16.7,14.8,95.0,319.0
2026-04-18T03:00,49.1,43.1,17.9,16.3,89.0,321.0
2026-04-18T04:00,51.9,45.8,20.1,18.0,82.0,349.0
2026-04-18T05:00,57.5,50.9,25.2,18.9,77.0,401.0
2026-04-18T06:00,59.8,54.0,23.1,21.5,89.0,510.0
2026-04-18T07:00,53.3,48.7,20.0,24.8,105.0,644.0
2026-04-18T08:00,47.6,41.8,16.5,25.8,123.0,703.0
2026-04-18T09:00,45.5,38.0,12.2,22.5,143.0,618.0
2026-04-18T10:00,43.4,34.9,7.4,16.8,164.0,459.0
2026-04-18T11:00,38.1,30.3,3.9,12.0,177.0,338.0
2026-04-18T12:00,33.8,27.2,2.6,9.0,178.0,300.0
2026-04-18T13:00,31.7,25.8,2.5,6.9,172.0,300.0
2026-04-18T14:00,29.9,24.8,3.1,5.4,165.0,311.0
2026-04-18T15:00,28.4,23.7,3.9,4.6,160.0,330.0
2026-04-18T16:00,26.8,22.6,5.3,4.5,155.0,360.0
2026-04-18T17:00,34.5,28.3,7.5,5.3,146.0,388.0
2026-04-18T18:00,35.2,30.9,11.3,6.3,133.0,412.0
2026-04-18T19:00,35.6,31.8,16.6,7.8,116.0,434.0
2026-04-18T20:00,34.3,30.5,20.4,9.0,101.0,450.0
2026-04-18T21:00,32.5,28.7,21.3,9.6,93.0,460.0
2026-04-18T22:00,31.5,27.7,20.7,9.9,88.0,463.0
2026-04-18T23:00,30.9,27.0,19.8,10.5,85.0,451.0
2026-04-19T00:00,29.9,25.9,18.5,11.5,83.0,405.0
2026-04-19T01:00,29.6,25.4,16.9,12.8,83.0,344.0
2026-04-19T02:00,29.9,25.3,16.8,14.2,81.0,316.0
2026-04-19T03:00,31.2,26.2,20.0,16.0,74.0,345.0
2026-04-19T04:00,34.6,29.3,24.7,18.0,66.0,406.0
2026-04-19T05:00,36.8,31.9,26.1,17.6,60.0,474.0
2026-04-19T06:00,40.7,36.1,23.9,17.7,71.0,558.0
2026-04-19T07:00,37.3,33.5,20.6,17.8,88.0,649.0
2026-04-19T08:00,31.4,27.1,17.0,16.9,107.0,687.0
2026-04-19T09:00,27.8,23.3,12.6,14.3,132.0,631.0
2026-04-19T10:00,28.2,23.1,7.8,10.8,161.0,523.0
2026-04-19T11:00,29.9,23.6,4.3,8.0,181.0,431.0
2026-04-19T12:00,31.4,24.4,3.0,6.8,187.0,377.0
2026-04-19T13:00,31.9,24.9,3.0,6.3,185.0,340.0
2026-04-19T14:00,31.4,24.8,3.6,6.1,181.0,324.0
2026-04-19T15:00,30.6,24.3,4.1,5.8,177.0,330.0
2026-04-19T16:00,29.7,23.9,5.2,5.7,170.0,357.0
2026-04-19T17:00,21.5,17.8,8.0,6.1,155.0,402.0
2026-04-19T18:00,23.7,20.7,14.2,7.5,137.0,488.0
2026-04-19T19:00,26.8,24.3,22.7,9.4,112.0,593.0
2026-04-19T20:00,24.9,22.6,28.1,10.5,92.0,648.0
2026-04-19T21:00,21.7,19.4,27.6,10.0,84.0,606.0
2026-04-19T22:00,20.3,17.9,24.1,8.7,81.0,514.0
2026-04-19T23:00,19.7,17.0,21.2,8.0,79.0,446.0
2026-04-20T00:00,18.7,15.9,19.6,8.5,77.0,426.0
2026-04-20T01:00,18.4,15.5,18.5,9.6,75.0,430.0
2026-04-20T02:00,20.4,17.3,19.7,10.9,71.0,453.0
2026-04-20T03:00,23.2,20.0,25.5,12.5,59.0,509.0
2026-04-20T04:00,25.9,22.8,33.5,14.2,43.0,584.0
2026-04-20T05:00,27.5,25.6,25.8,12.5,46.0,633.0
2026-04-20T06:00,31.8,29.8,24.5,14.0,59.0,636.0
2026-04-20T07:00,36.1,34.1,22.6,16.0,78.0,612.0
2026-04-20T08:00,36.7,33.6,19.7,16.9,102.0,574.0
2026-04-20T09:00,37.8,34.2,14.9,15.8,135.0,514.0
2026-04-20T10:00,35.9,32.0,9.2,13.7,173.0,440.0
2026-04-20T11:00,32.8,28.5,5.0,11.6,201.0,381.0
2026-04-20T12:00,31.8,26.9,3.4,9.9,211.0,348.0
2026-04-20T13:00,31.2,26.1,3.4,8.4,211.0,331.0
2026-04-20T14:00,30.2,25.0,4.0,7.2,208.0,327.0
2026-04-20T15:00,29.0,23.9,4.4,6.4,205.0,332.0
2026-04-20T16:00,28.0,22.9,5.4,6.0,198.0,351.0
2026-04-20T17:00,29.8,23.6,8.5,5.9,170.0,398.0
2026-04-20T18:00,31.0,26.1,14.5,7.2,150.0,510.0
2026-04-20T19:00,33.1,29.2,22.7,9.0,122.0,649.0
2026-04-20T20:00,31.1,27.9,27.4,10.5,101.0,716.0
2026-04-20T21:00,28.1,25.6,25.6,11.1,95.0,646.0
2026-04-20T22:00,26.5,24.6,20.3,11.3,97.0,505.0
2026-04-20T23:00,26.1,24.4,15.9,12.4,99.0,389.0
2026-04-21T00:00,25.8,24.3,13.6,15.2,99.0,328.0
2026-04-21T01:00,25.1,23.7,12.0,18.8,98.0,292.0
2026-04-21T02:00,24.1,22.7,11.5,21.5,95.0,288.0
2026-04-21T03:00,23.6,22.3,12.7,22.7,85.0,329.0
2026-04-21T04:00,25.4,24.0,14.9,23.0,72.0,402.0
2026-04-21T05:00,28.1,26.7,17.2,22.6,65.0,474.0
2026-04-21T06:00,30.5,29.2,16.1,21.6,73.0,548.0
2026-04-21T07:00,25.4,23.9,14.4,20.2,84.0,622.0
2026-04-21T08:00,21.1,19.3,12.3,18.1,99.0,655.0
2026-04-21T09:00,21.4,19.2,9.4,15.0,121.0,622.0
2026-04-21T10:00,23.7,20.5,6.1,11.2,146.0,548.0
2026-04-21T11:00,25.6,21.2,3.7,8.3,165.0,472.0
2026-04-21T12:00,25.0,20.1,2.8,6.9,173.0,395.0
2026-04-21T13:00,23.3,18.8,2.7,6.2,175.0,317.0
2026-04-21T14:00,21.2,17.3,3.2,5.7,173.0,269.0
2026-04-21T15:00,19.7,16.1,4.0,5.0,167.0,272.0
2026-04-21T16:00,18.7,15.5,5.3,4.3,158.0,306.0
2026-04-21T17:00,19.4,15.7,7.1,3.5,138.0,348.0
2026-04-21T18:00,21.0,18.2,11.0,4.4,125.0,405.0
2026-04-21T19:00,22.2,19.8,16.3,5.6,106.0,472.0
2026-04-21T20:00,19.8,17.7,19.7,6.7,93.0,504.0
2026-04-21T21:00,18.5,16.3,19.3,7.2,90.0,474.0
2026-04-21T22:00,19.2,16.9,16.9,7.6,92.0,410.0
2026-04-21T23:00,20.7,18.5,14.8,9.2,94.0,358.0
2026-04-22T00:00,22.2,20.0,13.4,13.1,95.0,332.0
2026-04-22T01:00,23.7,21.6,12.3,18.1,97.0,318.0
2026-04-22T02:00,24.7,22.6,12.3,22.1,95.0,321.0
2026-04-22T03:00,25.4,23.4,14.6,24.2,86.0,344.0
2026-04-22T04:00,27.5,25.4,18.0,25.3,75.0,383.0
2026-04-22T05:00,39.5,36.0,29.5,24.2,63.0,434.0
2026-04-22T06:00,45.6,42.1,25.4,24.5,74.0,519.0
2026-04-22T07:00,36.4,33.6,19.7,24.7,90.0,615.0
2026-04-22T08:00,27.6,24.8,14.5,23.6,108.0,649.0
2026-04-22T09:00,26.0,22.6,10.3,20.0,132.0,563.0
2026-04-22T10:00,26.0,21.7,6.6,15.1,158.0,415.0
2026-04-22T11:00,24.3,19.7,4.0,11.1,176.0,303.0
2026-04-22T12:00,23.4,17.9,2.8,9.0,179.0,266.0
2026-04-22T13:00,23.6,17.5,2.6,7.8,174.0,265.0
2026-04-22T14:00,23.3,17.4,3.0,7.0,167.0,276.0
2026-04-22T15:00,22.5,17.2,3.7,6.5,162.0,296.0
2026-04-22T16:00,21.8,16.9,5.1,6.3,156.0,329.0
2026-04-22T17:00,22.0,17.1,7.4,6.4,147.0,359.0
2026-04-22T18:00,23.7,19.9,11.5,7.3,134.0,386.0
2026-04-22T19:00,25.0,21.9,17.1,8.6,116.0,411.0
2026-04-22T20:00,23.9,21.1,20.9,9.6,102.0,421.0
2026-04-22T21:00,23.3,20.7,21.4,10.0,97.0,408.0
2026-04-22T22:00,23.9,21.4,20.0,10.1,96.0,380.0
2026-04-22T23:00,24.7,22.1,18.5,10.4,96.0,351.0
2026-04-23T00:00,24.9,22.3,16.7,11.0,95.0,320.0
2026-04-23T01:00,25.0,22.5,14.7,11.7,94.0,288.0
2026-04-23T02:00,25.3,22.9,14.0,12.7,92.0,275.0
2026-04-23T03:00,26.1,23.5,16.1,14.0,85.0,281.0
2026-04-23T04:00,27.6,25.0,19.5,15.5,76.0,304.0
2026-04-23T05:00,32.6,29.9,23.4,17.0,73.0,362.0
2026-04-23T06:00,37.5,34.9,22.1,19.9,82.0,501.0
2026-04-23T07:00,31.7,29.8,20.1,23.8,95.0,674.0
2026-04-23T08:00,26.8,24.6,17.4,25.6,111.0,757.0
2026-04-23T09:00,25.6,22.7,13.3,23.5,135.0,664.0
2026-04-23T10:00,26.6,22.7,8.4,19.3,162.0,480.0
2026-04-23T11:00,27.4,22.3,4.8,15.4,180.0,338.0
2026-04-23T12:00,28.0,21.4,3.2,12.3,181.0,291.0
2026-04-23T13:00,28.8,21.7,2.9,9.4,173.0,286.0
2026-04-23T14:00,27.9,21.5,3.2,7.3,165.0,294.0
2026-04-23T15:00,26.8,21.0,4.0,6.4,160.0,313.0
2026-04-23T16:00,25.8,20.4,5.4,6.3,155.0,345.0
2026-04-23T17:00,27.9,21.8,7.8,6.3,138.0,372.0
2026-04-23T18:00,28.5,23.6,11.4,7.4,126.0,387.0
2026-04-23T19:00,29.2,24.9,16.2,9.0,110.0,397.0
2026-04-23T20:00,28.8,24.7,19.5,10.4,98.0,402.0
2026-04-23T21:00,28.6,24.9,19.8,11.2,94.0,405.0
2026-04-23T22:00,29.5,26.1,18.5,11.8,95.0,404.0
2026-04-23T23:00,30.5,27.4,17.1,12.6,96.0,390.0
2026-04-24T00:00,31.0,28.2,15.7,14.0,97.0,348.0
2026-04-24T01:00,31.7,28.9,14.3,15.6,98.0,293.0
2026-04-24T02:00,32.2,29.5,14.0,17.2,96.0,265.0
2026-04-24T03:00,32.9,30.3,16.1,18.7,88.0,276.0
2026-04-24T04:00,35.2,32.4,19.2,20.1,78.0,312.0
2026-04-24T05:00,47.1,43.4,34.1,22.8,67.0,375.0
2026-04-24T06:00,53.0,49.1,29.6,23.3,80.0,498.0
2026-04-24T07:00,43.8,40.5,23.2,23.8,98.0,647.0
2026-04-24T08:00,37.5,33.2,17.2,22.9,118.0,720.0
2026-04-24T09:00,34.8,29.7,12.1,19.5,141.0,649.0
2026-04-24T10:00,33.4,27.5,7.5,14.8,166.0,502.0
2026-04-24T11:00,32.8,25.3,4.2,11.0,182.0,385.0
