latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.700005,77.20001,231.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2026-07-19T18:30,661.2,137.4,293.0,29.2,17.1,80.0

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2026-04-15T00:00,323.2,60.3,19.1,14.2,85.0,555.0
2026-04-15T01:00,207.7,46.6,17.2,13.8,87.0,584.0
2026-04-15T02:00,129.5,36.9,16.5,14.3,89.0,616.0
2026-04-15T03:00,101.3,32.4,17.4,16.0,87.0,639.0
2026-04-15T04:00,94.1,31.2,19.6,18.6,84.0,665.0
2026-04-15T05:00,113.9,35.5,19.3,17.1,82.0,704.0
2026-04-15T06:00,122.5,42.0,23.4,20.5,88.0,794.0
2026-04-15T07:00,116.9,48.4,28.7,25.2,97.0,898.0
2026-04-15T08:00,114.3,43.2,30.0,27.7,111.0,912.0
2026-04-15T09:00,110.6,31.8,23.6,26.5,135.0,753.0
2026-04-15T10:00,143.0,26.0,13.2,23.2,163.0,505.0
2026-04-15T11:00,197.4,29.7,5.3,19.6,181.0,312.0
2026-04-15T12:00,276.6,34.3,2.6,15.9,182.0,235.0
2026-04-15T13:00,364.1,40.3,2.4,12.0,173.0,212.0
2026-04-15T14:00,438.7,46.1,3.1,9.2,163.0,208.0
2026-04-15T15:00,502.9,51.2,3.3,7.9,158.0,203.0
2026-04-15T16:00,556.9,56.3,4.4,7.6,152.0,216.0
2026-04-15T17:00,491.7,51.1,8.7,8.8,156.0,265.0
2026-04-15T18:00,521.5,61.7,20.5,12.4,131.0,373.0
2026-04-15T19:00,523.4,74.7,36.8,17.4,95.0,517.0
2026-04-15T20:00,568.1,88.2,49.8,21.6,67.0,646.0
2026-04-15T21:00,618.4,99.9,56.3,24.3,53.0,739.0
2026-04-15T22:00,642.6,107.1,59.5,26.2,45.0,818.0
2026-04-15T23:00,633.3,109.4,60.6,27.1,39.0,896.0
2026-04-16T00:00,603.5,108.3,59.2,26.4,34.0,993.0
2026-04-16T01:00,575.6,108.3,55.8,24.8,30.0,1090.0
2026-04-16T02:00,551.3,109.0,53.0,23.5,27.0,1139.0
2026-04-16T03:00,523.4,108.5,51.7,22.8,19.0,1092.0
2026-04-16T04:00,499.2,107.8,51.0,22.6,12.0,997.0
2026-04-16T05:00,442.4,93.6,38.8,22.4,39.0,959.0
2026-04-16T06:00,427.5,99.7,41.8,24.9,58.0,1075.0
2026-04-16T07:00,314.8,103.6,45.4,28.2,85.0,1247.0
2026-04-16T08:00,214.2,80.1,44.5,30.5,113.0,1283.0
2026-04-16T09:00,120.6,44.9,34.8,31.3,143.0,1043.0
2026-04-16T10:00,67.3,23.4,20.7,31.0,173.0,667.0
2026-04-16T11:00,57.4,18.3,9.7,29.1,192.0,377.0
