latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.099998,72.90001,8.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2026-07-19T19:30,22.8,11.1,258.0,7.9,5.6,46.0

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2026-04-15T00:00,64.3,23.5,14.1,10.9,78.0,316.0
2026-04-15T01:00,64.0,23.6,14.3,10.7,77.0,342.0
2026-04-15T02:00,62.9,23.5,14.7,10.7,76.0,378.0
2026-04-15T03:00,61.2,23.5,15.2,10.5,75.0,432.0
2026-04-15T04:00,60.1,23.7,15.9,10.4,73.0,497.0
2026-04-15T05:00,63.6,25.8,18.2,14.7,73.0,539.0
2026-04-15T06:00,64.3,26.7,18.0,16.8,75.0,545.0
2026-04-15T07:00,67.3,29.2,17.7,19.7,79.0,527.0
2026-04-15T08:00,68.0,28.3,16.6,22.2,91.0,495.0
2026-04-15T09:00,72.9,30.9,14.1,24.5,120.0,442.0
2026-04-15T10:00,80.6,35.9,10.9,26.4,156.0,374.0
2026-04-15T11:00,84.1,39.3,8.3,26.5,180.0,316.0
2026-04-15T12:00,79.9,38.6,6.7,23.4,182.0,274.0
2026-04-15T13:00,71.2,35.2,5.8,18.4,171.0,241.0
2026-04-15T14:00,62.2,30.6,5.7,14.4,158.0,223.0
2026-04-15T15:00,53.2,27.1,6.8,12.1,145.0,225.0
2026-04-15T16:00,46.0,24.9,8.8,10.8,129.0,242.0
2026-04-15T17:00,38.3,22.9,10.1,9.1,112.0,261.0
2026-04-15T18:00,35.2,22.6,10.8,9.9,106.0,277.0
2026-04-15T19:00,32.7,21.7,11.9,11.0,97.0,295.0
2026-04-15T20:00,32.2,21.8,13.0,12.8,91.0,313.0
2026-04-15T21:00,32.7,22.3,14.3,15.7,88.0,328.0
2026-04-15T22:00,34.3,23.7,15.6,19.2,88.0,344.0
2026-04-15T23:00,36.0,24.7,16.2,21.7,88.0,368.0
2026-04-16T00:00,37.1,25.0,15.6,22.6,90.0,407.0
2026-04-16T01:00,38.1,24.6,14.3,22.6,92.0,454.0
2026-04-16T02:00,39.1,24.1,13.3,22.2,94.0,500.0
2026-04-16T03:00,40.6,23.7,13.0,21.1,93.0,551.0
2026-04-16T04:00,42.5,24.1,12.9,19.6,90.0,602.0
2026-04-16T05:00,46.0,27.2,15.6,26.7,84.0,622.0
2026-04-16T06:00,48.7,28.1,14.7,29.5,86.0,591.0
2026-04-16T07:00,49.9,27.7,13.3,33.5,91.0,530.0
2026-04-16T08:00,51.8,27.6,11.8,36.6,100.0,475.0
2026-04-16T09:00,55.3,30.0,10.0,38.7,121.0,444.0
2026-04-16T10:00,59.6,33.1,8.1,40.0,148.0,420.0
2026-04-16T11:00,61.2,34.1,6.5,38.9,164.0,386.0
2026-04-16T12:00,58.8,31.9,5.4,33.6,162.0,326.0
2026-04-16T13:00,54.7,28.3,4.7,25.9,149.0,257.0
2026-04-16T14:00,51.3,24.8,4.8,19.8,136.0,214.0
2026-04-16T15:00,49.7,22.5,6.1,16.6,126.0,217.0
2026-04-16T16:00,50.3,21.9,8.1,15.0,115.0,246.0
2026-04-16T17:00,44.9,20.4,9.7,12.4,99.0,274.0
2026-04-16T18:00,46.9,21.3,11.3,13.7,94.0,295.0
2026-04-16T19:00,48.7,21.9,13.4,15.4,87.0,315.0
2026-04-16T20:00,50.4,22.6,14.7,17.1,82.0,329.0
