latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,72.85291,8.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (m/s),wind_direction_10m (°)
2026-04-15T00:00,27.5,79,0.00,1007.7,0,2.16,316
2026-04-15T01:00,27.2,80,0.00,1007.1,0,1.88,318
2026-04-15T02:00,26.3,84,0.00,1006.8,0,0.92,331
2026-04-15T03:00,25.9,87,0.00,1006.3,0,0.95,342
2026-04-15T04:00,25.8,88,0.00,1006.2,0,1.25,355
2026-04-15T05:00,25.2,91,0.00,1006.5,0,0.71,45
2026-04-15T06:00,25.2,90,0.00,1007.1,4,0.76,79
2026-04-15T07:00,26.6,81,0.00,1007.5,0,0.81,60
2026-04-15T08:00,28.8,71,0.00,1008.1,0,0.91,9
2026-04-15T09:00,30.9,62,0.00,1008.2,0,1.39,339
2026-04-15T10:00,32.9,52,0.00,1008.0,1,1.95,318
2026-04-15T11:00,33.5,52,0.00,1007.7,0,2.73,298
2026-04-15T12:00,33.9,50,0.00,1007.3,0,3.49,295
2026-04-15T13:00,34.0,43,0.00,1006.7,0,4.10,300
2026-04-15T14:00,33.6,42,0.00,1005.7,0,4.38,305
2026-04-15T15:00,32.9,46,0.00,1005.1,0,4.36,307
2026-04-15T16:00,32.0,49,0.00,1004.9,0,4.41,309
2026-04-15T17:00,30.7,57,0.00,1004.8,0,4.01,310
2026-04-15T18:00,29.1,71,0.00,1005.0,0,3.30,309
2026-04-15T19:00,27.8,86,0.00,1005.9,2,2.61,306
2026-04-15T20:00,27.5,87,0.00,1006.8,35,1.89,307
2026-04-15T21:00,27.3,86,0.00,1007.6,16,1.17,301
2026-04-15T22:00,26.9,87,0.00,1007.8,16,0.41,284
2026-04-15T23:00,26.8,88,0.00,1007.9,38,0.61,215
2026-04-16T00:00,26.5,89,0.00,1007.4,7,0.58,239
2026-04-16T01:00,26.3,90,0.00,1007.0,10,0.72,258
2026-04-16T02:00,26.0,92,0.00,1006.8,17,0.68,253
2026-04-16T03:00,25.6,94,0.00,1006.5,30,0.58,239
2026-04-16T04:00,25.6,93,0.00,1006.2,33,0.16,252
2026-04-16T05:00,25.2,95,0.00,1006.4,30,0.30,99
2026-04-16T06:00,25.2,95,0.00,1006.9,27,0.50,90
2026-04-16T07:00,26.1,90,0.00,1007.4,29,0.54,68
2026-04-16T08:00,27.7,78,0.00,1008.2,46,0.36,344
2026-04-16T09:00,29.2,69,0.00,1008.7,15,0.76,302
2026-04-16T10:00,30.9,59,0.00,1008.7,1,1.60,290
2026-04-16T11:00,31.5,57,0.00,1008.5,1,2.53,285
2026-04-16T12:00,32.1,53,0.00,1008.1,0,3.27,289
2026-04-16T13:00,32.5,46,0.00,1007.3,0,3.61,289
2026-04-16T14:00,32.5,46,0.00,1006.3,0,3.59,291
2026-04-16T15:00,31.8,53,0.00,1005.5,0,3.56,294
2026-04-16T16:00,31.1,56,0.00,1005.2,0,3.31,295
2026-04-16T17:00,30.2,63,0.00,1004.8,0,3.06,296
2026-04-16T18:00,28.7,71,0.00,1005.3,0,2.48,298
2026-04-16T19:00,27.7,79,0.00,1006.3,0,2.06,296
2026-04-16T20:00,27.4,81,0.00,1007.3,1,1.91,290
2026-04-16T21:00,27.0,84,0.00,1008.0,2,2.04,295
2026-04-16T22:00,26.6,86,0.00,1008.7,5,2.17,296
2026-04-16T23:00,26.5,87,0.00,1009.0,5,1.53,281
2026-04-17T00:00,26.1,89,0.00,1008.6,44,0.67,283
