City,Date,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Temperature,Humidity,WindSpeed,WindDirection,Rain,month,day_of_week,day_of_year
Delhi,2015-01-01,153.3,241.7,182.9,33.0,81.3,38.5,1.87,64.5,83.6,18.93,20.81,8.32,204.5,Severe,16.145833333333332,68.08333333333333,1.6600000000000001,95.70833333333333,0.0,1,3,1
Delhi,2015-01-02,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,0.55,15.6,2.45,238.5,Satisfactory,15.0375,84.16666666666667,1.6004166666666666,88.91666666666667,3.4,1,4,2
Delhi,2015-01-03,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42.0,1.87,15.11,2.41,77.6,Satisfactory,15.441666666666668,84.0,1.4216666666666666,276.7916666666667,0.5,1,5,3
Delhi,2015-01-04,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,7.7,12.46,0.57,85.4,Satisfactory,14.1625,79.25,2.8074999999999997,313.2916666666667,0.0,1,6,4
Delhi,2015-01-05,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2.0,101.3,13.41,1.66,4.46,396.8,Poor,13.995833333333332,74.20833333333333,5.365416666666667,299.0416666666667,0.0,1,0,5
Delhi,2015-01-06,390.7,91.4,170.3,131.8,83.5,46.0,1.17,84.1,177.5,1.81,9.02,9.85,360.3,Moderate,14.841666666666667,75.625,3.561666666666667,252.25,0.0,1,1,6
Delhi,2015-01-07,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,6.33,2.35,0.27,370.3,Moderate,13.700000000000001,78.75,1.9270833333333333,257.9583333333333,0.0,1,2,7
Delhi,2015-01-08,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,17.48,20.33,4.75,230.7,Severe,12.825000000000001,80.91666666666667,1.9058333333333335,311.2916666666667,0.0,1,3,8
Delhi,2015-01-09,226.8,103.0,72.6,100.6,32.9,23.4,9.29,56.6,118.8,8.73,28.38,6.88,53.6,Very Poor,12.0375,83.25,1.7929166666666667,315.75,0.0,1,4,9
Delhi,2015-01-10,316.8,209.1,68.0,100.0,30.2,36.8,3.37,11.2,4.4,16.25,13.2,8.95,29.9,Very Poor,11.575000000000001,81.5,2.7583333333333333,300.9583333333333,0.0,1,5,10
Delhi,2015-01-11,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,0.76,1.67,7.5,450.2,Poor,11.275,85.04166666666667,2.3366666666666664,236.29166666666666,0.0,1,6,11
