latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.646748,77.2748,231.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_10m (m/s),wind_direction_10m (°)
2015-01-01T00:00,11.8,87,0.00,2.12,19
2015-01-01T01:00,12.5,82,0.00,2.62,18
2015-01-01T02:00,12.9,80,0.00,2.47,14
2015-01-01T03:00,12.9,79,0.00,2.06,14
2015-01-01T04:00,12.8,79,0.00,1.71,7
2015-01-01T05:00,12.4,81,0.00,2.10,360
2015-01-01T06:00,12.0,83,0.00,2.20,357
2015-01-01T07:00,11.7,84,0.00,2.20,3
2015-01-01T08:00,12.8,80,0.00,1.92,9
2015-01-01T09:00,15.4,69,0.00,1.08,22
2015-01-01T10:00,18.0,60,0.00,0.99,45
2015-01-01T11:00,20.1,52,0.00,1.50,94
2015-01-01T12:00,20.7,49,0.00,1.92,118
2015-01-01T13:00,21.0,47,0.00,1.66,123
2015-01-01T14:00,21.3,46,0.00,1.33,103
2015-01-01T15:00,21.3,46,0.00,0.72,56
2015-01-01T16:00,20.6,51,0.00,0.67,27
2015-01-01T17:00,19.8,55,0.00,0.85,45
2015-01-01T18:00,18.3,61,0.00,1.22,99
2015-01-01T19:00,17.1,66,0.00,1.77,133
2015-01-01T20:00,16.2,70,0.00,1.79,153
2015-01-01T21:00,15.7,73,0.00,1.75,167
2015-01-01T22:00,15.4,75,0.00,1.71,159
2015-01-01T23:00,14.8,79,0.00,1.48,152
2015-01-02T00:00,15.2,80,0.00,0.82,104
2015-01-02T01:00,14.8,83,0.00,0.63,72
2015-01-02T02:00,14.6,84,0.00,0.72,56
2015-01-02T03:00,14.3,86,0.00,0.64,231
2015-01-02T04:00,14.1,86,0.00,0.81,187
2015-01-02T05:00,14.4,84,0.00,1.35,138
2015-01-02T06:00,14.4,83,0.00,1.78,142
2015-01-02T07:00,14.4,81,0.00,1.53,122
2015-01-02T08:00,14.8,79,0.30,1.49,138
2015-01-02T09:00,15.2,80,0.50,1.30,122
2015-01-02T10:00,16.0,77,0.30,1.36,107
2015-01-02T11:00,16.7,73,0.20,1.73,80
2015-01-02T12:00,15.9,81,1.20,1.88,65
2015-01-02T13:00,15.9,83,0.60,2.42,60
2015-01-02T14:00,16.2,81,0.30,2.69,59
2015-01-02T15:00,15.9,84,0.00,2.69,45
2015-01-02T16:00,15.7,85,0.00,2.52,34
2015-01-02T17:00,15.3,88,0.00,2.37,28
2015-01-02T18:00,14.9,89,0.00,2.24,27
2015-01-02T19:00,14.7,90,0.00,1.97,30
2015-01-02T20:00,14.5,90,0.00,1.63,43
2015-01-02T21:00,14.5,90,0.00,1.34,63
2015-01-02T22:00,14.3,91,0.00,1.40,86
2015-01-02T23:00,14.2,92,0.00,1.10,95
2015-01-03T00:00,14.2,93,0.00,0.71,98
2015-01-03T01:00,14.3,93,0.00,0.60,90
2015-01-03T02:00,14.2,93,0.00,0.45,117
2015-01-03T03:00,14.1,94,0.00,0.36,304
2015-01-03T04:00,13.9,95,0.00,1.39,300
2015-01-03T05:00,13.8,96,0.00,2.05,317
2015-01-03T06:00,13.8,95,0.00,2.42,330
2015-01-03T07:00,13.7,95,0.00,2.46,333
2015-01-03T08:00,14.0,93,0.00,2.34,340
2015-01-03T09:00,14.5,90,0.00,2.16,347
2015-01-03T10:00,15.6,83,0.00,1.84,347
2015-01-03T11:00,16.8,76,0.00,1.68,343
2015-01-03T12:00,17.0,75,0.00,1.50,323
2015-01-03T13:00,17.6,71,0.30,1.25,299
2015-01-03T14:00,18.0,69,0.20,1.30,266
2015-01-03T15:00,17.8,69,0.00,1.39,240
2015-01-03T16:00,17.6,70,0.00,1.61,240
2015-01-03T17:00,17.0,74,0.00,1.26,252
2015-01-03T18:00,16.4,77,0.00,1.10,270
2015-01-03T19:00,16.0,79,0.00,1.14,285
2015-01-03T20:00,15.5,82,0.00,1.12,297
2015-01-03T21:00,15.4,83,0.00,1.25,299
2015-01-03T22:00,14.8,85,0.00,1.30,302
2015-01-03T23:00,14.6,86,0.00,1.44,304
2015-01-04T00:00,13.8,92,0.00,1.39,300
2015-01-04T01:00,13.4,94,0.00,1.39,300
2015-01-04T02:00,12.7,96,0.00,1.72,306
2015-01-04T03:00,12.1,97,0.00,2.05,313
2015-01-04T04:00,11.5,97,0.00,1.92,321
2015-01-04T05:00,11.2,98,0.00,2.19,317
2015-01-04T06:00,11.3,98,0.00,2.33,313
2015-01-04T07:00,11.2,98,0.00,2.50,307
2015-01-04T08:00,12.2,95,0.00,3.05,311
2015-01-04T09:00,14.1,85,0.00,3.47,319
2015-01-04T10:00,16.3,73,0.00,3.64,323
2015-01-04T11:00,17.9,64,0.00,3.64,323
2015-01-04T12:00,17.6,61,0.00,3.56,322
2015-01-04T13:00,18.3,56,0.00,3.58,324
2015-01-04T14:00,18.7,54,0.00,3.72,324
2015-01-04T15:00,18.6,53,0.00,3.69,327
2015-01-04T16:00,18.3,54,0.00,3.72,324
2015-01-04T17:00,16.5,62,0.00,2.69,318
2015-01-04T18:00,14.6,70,0.00,2.55,315
2015-01-04T19:00,13.4,75,0.00,2.64,307
2015-01-04T20:00,12.5,78,0.00,2.69,301
2015-01-04T21:00,11.8,81,0.00,2.92,301
2015-01-04T22:00,11.2,84,0.00,3.00,300
2015-01-04T23:00,10.7,87,0.00,3.33,303
2015-01-05T00:00,10.3,91,0.00,3.47,303
2015-01-05T01:00,10.0,92,0.00,3.77,302
2015-01-05T02:00,9.8,92,0.00,3.94,297
2015-01-05T03:00,9.6,92,0.00,4.07,298
2015-01-05T04:00,9.5,91,0.00,4.34,296
2015-01-05T05:00,9.5,91,0.00,4.66,293
2015-01-05T06:00,9.5,91,0.00,5.02,293
2015-01-05T07:00,9.4,91,0.00,5.41,295
2015-01-05T08:00,11.0,85,0.00,5.73,295
2015-01-05T09:00,13.5,73,0.00,6.44,298
2015-01-05T10:00,16.0,63,0.00,7.10,302
2015-01-05T11:00,17.9,54,0.00,7.41,305
2015-01-05T12:00,19.0,51,0.00,7.60,305
2015-01-05T13:00,19.9,47,0.00,7.60,305
2015-01-05T14:00,20.3,46,0.00,7.38,306
2015-01-05T15:00,20.2,47,0.00,6.91,304
2015-01-05T16:00,19.4,52,0.00,5.71,303
2015-01-05T17:00,17.6,60,0.00,4.75,300
2015-01-05T18:00,16.0,67,0.00,4.75,300
2015-01-05T19:00,14.9,73,0.00,4.70,299
2015-01-05T20:00,14.1,78,0.00,4.61,297
2015-01-05T21:00,13.4,82,0.00,4.52,295
2015-01-05T22:00,12.8,85,0.00,4.44,293
2015-01-05T23:00,12.3,87,0.00,4.44,293
2015-01-06T00:00,12.0,90,0.00,4.31,292
2015-01-06T01:00,11.7,91,0.00,4.31,292
2015-01-06T02:00,11.4,91,0.00,4.22,292
2015-01-06T03:00,11.1,91,0.00,3.54,286
2015-01-06T04:00,10.9,92,0.00,3.75,279
2015-01-06T05:00,10.6,92,0.00,3.85,279
2015-01-06T06:00,10.5,93,0.00,3.65,279
2015-01-06T07:00,10.2,94,0.00,3.34,279
2015-01-06T08:00,11.5,89,0.00,3.52,277
2015-01-06T09:00,14.3,77,0.00,3.67,281
2015-01-06T10:00,16.6,68,0.00,4.02,289
2015-01-06T11:00,18.2,61,0.00,5.42,300
2015-01-06T12:00,19.4,56,0.00,5.92,300
2015-01-06T13:00,19.8,53,0.00,5.61,301
2015-01-06T14:00,20.2,51,0.00,5.08,302
2015-01-06T15:00,20.1,51,0.00,4.38,305
2015-01-06T16:00,19.5,55,0.00,3.61,316
2015-01-06T17:00,18.4,60,0.00,2.59,332
2015-01-06T18:00,17.2,65,0.00,2.06,346
2015-01-06T19:00,16.3,69,0.00,1.90,360
2015-01-06T20:00,15.5,74,0.00,1.71,7
2015-01-06T21:00,14.2,82,0.00,1.65,14
2015-01-06T22:00,13.5,85,0.00,1.71,21
2015-01-06T23:00,13.1,85,0.00,1.66,25
2015-01-07T00:00,12.0,90,0.00,1.84,29
2015-01-07T01:00,11.5,92,0.00,1.79,27
2015-01-07T02:00,11.2,93,0.00,2.06,23
2015-01-07T03:00,10.8,93,0.00,1.66,25
2015-01-07T04:00,10.8,93,0.00,1.71,7
2015-01-07T05:00,10.8,93,0.00,1.06,319
2015-01-07T06:00,10.6,94,0.00,1.22,279
2015-01-07T07:00,10.2,95,0.00,1.12,280
2015-01-07T08:00,12.1,91,0.00,1.39,291
2015-01-07T09:00,14.2,80,0.00,1.30,302
2015-01-07T10:00,15.7,71,0.00,1.64,322
2015-01-07T11:00,17.1,62,0.00,2.48,320
2015-01-07T12:00,17.1,63,0.00,2.83,318
2015-01-07T13:00,17.6,58,0.00,2.91,319
2015-01-07T14:00,17.9,57,0.00,2.77,319
2015-01-07T15:00,18.0,56,0.00,2.16,326
2015-01-07T16:00,17.7,57,0.00,1.89,328
2015-01-07T17:00,17.0,61,0.00,1.58,325
2015-01-07T18:00,15.8,67,0.00,1.56,310
2015-01-07T19:00,14.5,73,0.00,1.84,319
2015-01-07T20:00,13.0,82,0.00,2.14,349
2015-01-07T21:00,11.9,87,0.00,2.21,355
2015-01-07T22:00,11.0,90,0.00,2.62,353
2015-01-07T23:00,10.3,92,0.00,2.47,346
2015-01-08T00:00,9.6,93,0.00,2.15,332
2015-01-08T01:00,9.2,93,0.00,2.06,321
2015-01-08T02:00,8.4,96,0.00,2.13,311
2015-01-08T03:00,7.8,97,0.00,2.06,309
2015-01-08T04:00,7.5,98,0.00,1.92,298
2015-01-08T05:00,7.2,98,0.00,1.55,285
2015-01-08T06:00,7.0,98,0.00,1.63,281
2015-01-08T07:00,6.7,98,0.00,1.51,278
2015-01-08T08:00,8.8,96,0.00,1.65,284
2015-01-08T09:00,12.9,84,0.00,1.17,290
2015-01-08T10:00,15.7,74,0.00,1.39,291
2015-01-08T11:00,17.3,65,0.00,1.50,307
2015-01-08T12:00,18.1,61,0.00,1.56,315
2015-01-08T13:00,18.8,57,0.00,1.41,315
2015-01-08T14:00,19.2,56,0.00,1.42,321
2015-01-08T15:00,19.3,55,0.00,2.00,307
2015-01-08T16:00,18.9,57,0.00,2.08,305
2015-01-08T17:00,17.7,64,0.00,2.47,302
2015-01-08T18:00,15.7,73,0.00,2.33,317
2015-01-08T19:00,14.2,79,0.00,2.33,329
2015-01-08T20:00,13.2,83,0.00,2.19,336
2015-01-08T21:00,12.4,86,0.00,2.21,342
2015-01-08T22:00,11.5,89,0.00,2.45,348
2015-01-08T23:00,10.7,92,0.00,2.57,347
2015-01-09T00:00,9.8,93,0.00,2.43,351
2015-01-09T01:00,9.2,95,0.00,2.51,355
2015-01-09T02:00,8.5,97,0.00,2.61,356
2015-01-09T03:00,7.8,98,0.00,2.04,349
2015-01-09T04:00,7.3,99,0.00,1.90,342
2015-01-09T05:00,6.8,100,0.00,1.57,333
2015-01-09T06:00,6.4,100,0.00,1.25,331
2015-01-09T07:00,6.0,100,0.00,0.45,297
2015-01-09T08:00,8.3,97,0.00,0.61,261
2015-01-09T09:00,11.7,90,0.00,0.82,256
2015-01-09T10:00,14.8,75,0.00,0.92,257
2015-01-09T11:00,16.6,64,0.00,1.10,265
2015-01-09T12:00,16.4,69,0.00,1.80,273
2015-01-09T13:00,17.5,63,0.00,1.99,288
2015-01-09T14:00,18.1,60,0.00,2.25,302
2015-01-09T15:00,18.3,59,0.00,2.06,299
2015-01-09T16:00,18.0,59,0.00,1.97,300
2015-01-09T17:00,16.7,66,0.00,2.41,318
2015-01-09T18:00,14.6,75,0.00,2.46,333
2015-01-09T19:00,13.0,82,0.00,2.12,341
